                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1844,                0.70638,                0.94883,                0.70587,                0.43982,                0.49535,                 0.2828,                 1.1608,                 0.6625,                0.92425,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.1775,                0.70085,                0.94472,                0.68929,                0.43514,                0.48368,                 0.2731,                 1.1809,                0.67868,                0.93059,              0.0063338,              0.0063338,              0.0063338
                      3,                 1.2007,                0.72761,                0.95192,                0.66686,                0.42265,                0.45702,                0.25531,                 1.2086,                0.71306,                 0.9385,              0.0090073,              0.0090073,              0.0090073
                      4,                 1.2214,                0.75426,                0.95928,                0.67725,                0.41007,                0.45462,                0.25473,                 1.2035,                0.70886,                0.94119,               0.008515,               0.008515,               0.008515
                      5,                 1.2197,                0.75018,                0.95876,                0.68169,                 0.4221,                0.46575,                0.26253,                 1.1873,                0.69122,                0.93563,               0.008515,               0.008515,               0.008515
                      6,                 1.2136,                0.74296,                 0.9563,                0.68398,                0.43001,                0.47698,                0.26849,                 1.1804,                0.68246,                0.92883,                0.00802,                0.00802,                0.00802
                      7,                 1.2045,                0.73261,                0.95349,                 0.6999,                0.44169,                0.48873,                0.27685,                 1.1711,                0.66903,                0.92886,               0.007525,               0.007525,               0.007525
                      8,                 1.1988,                0.72501,                 0.9514,                0.69041,                0.44565,                0.49394,                0.28151,                  1.163,                 0.6598,                0.92686,                0.00703,                0.00703,                0.00703
                      9,                 1.1902,                0.71844,                0.94922,                0.70368,                0.45072,                0.49809,                0.28489,                 1.1568,                0.65418,                  0.924,               0.006535,               0.006535,               0.006535
                     10,                 1.1871,                0.71297,                0.94736,                0.70466,                0.45067,                0.50304,                0.28818,                 1.1519,                0.64712,                 0.9215,                0.00604,                0.00604,                0.00604
                     11,                 1.2233,                0.71964,                 0.9517,                0.70762,                0.44702,                0.50004,                0.28843,                 1.1513,                0.65003,                0.92284,               0.005545,               0.005545,               0.005545
                     12,                 1.2181,                0.71302,                0.94995,                0.71664,                0.44851,                0.50438,                0.29087,                 1.1477,                0.64633,                0.92165,                0.00505,                0.00505,                0.00505
                     13,                 1.2108,                0.70479,                0.94696,                0.71197,                0.45629,                0.50819,                0.29345,                 1.1457,                0.64224,                0.92023,               0.004555,               0.004555,               0.004555
                     14,                 1.2048,                0.69702,                0.94472,                0.71532,                0.45826,                0.51119,                0.29459,                 1.1436,                0.63975,                0.91899,                0.00406,                0.00406,                0.00406
                     15,                 1.1988,                0.69012,                0.94237,                0.71658,                 0.4586,                0.51277,                0.29673,                 1.1426,                 0.6378,                0.91849,               0.003565,               0.003565,               0.003565
                     16,                 1.1913,                0.68109,                 0.9398,                0.72318,                0.45822,                0.51361,                0.29733,                 1.1411,                0.63592,                0.91795,                0.00307,                0.00307,                0.00307
                     17,                 1.1859,                0.67379,                0.93887,                0.72033,                0.45909,                0.51412,                0.29797,                 1.1398,                0.63461,                0.91738,               0.002575,               0.002575,               0.002575
                     18,                 1.1782,                0.66569,                0.93582,                0.72209,                0.45963,                0.51583,                0.29903,                  1.139,                0.63344,                0.91705,                0.00208,                0.00208,                0.00208
                     19,                 1.1712,                0.65612,                0.93413,                0.72229,                0.45787,                0.51654,                0.29935,                 1.1383,                0.63228,                 0.9167,               0.001585,               0.001585,               0.001585
                     20,                  1.162,                0.64679,                0.93052,                0.71925,                0.46044,                0.51699,                0.29993,                 1.1376,                0.63129,                 0.9164,                0.00109,                0.00109,                0.00109
